molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5921495,active,10.259637310505756,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(C1)CN(c1ccc(C(=O)NS(=O)(=O)c3ccc(NC[C@H]4COCCO4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c1)C2,835.9839999999997,7.138700000000006,3.0,12.0
CHEMBL5568435,active,9.064492734175287,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4cc5c(c([N+](=O)[O-])c4)NC(C4CCOCC4)CO5)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,890.0759999999995,8.691100000000004,3.0,12.0
CHEMBL5558905,active,8.915602480858851,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4cc5c(c([N+](=O)[O-])c4)NC(CN4CCOCC4)C5)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,889.0919999999993,7.760400000000008,3.0,12.0
CHEMBL5532549,active,9.452225294612177,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4cc5c(c([N+](=O)[O-])c4)N[C@H](C4CCC(C)(O)CC4)CO5)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,918.1299999999994,9.205700000000002,4.0,12.0
CHEMBL5775285,active,10.2839966563652,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5(F)CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,880.0559999999995,9.022200000000002,3.0,11.0
CHEMBL5523428,active,10.619788758288394,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5C6COCC56)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,860.0499999999996,8.395900000000005,3.0,11.0
CHEMBL5562694,active,8.72792621249999,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CC6COCC6C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,888.1039999999995,9.176100000000002,3.0,11.0
CHEMBL5559861,active,8.881074247174224,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCC(F)(F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,896.0739999999995,10.328999999999995,3.0,10.0
CHEMBL5567889,active,9.086186147616283,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCN(C)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,875.1089999999994,8.845300000000003,3.0,11.0
CHEMBL5560614,active,10.443697499232712,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,862.0659999999995,8.930100000000003,3.0,11.0
